time,dx,dy,dz
1725366451767,0.00854709857117127,0.0104870519562443,-0.017643333159789273
1725366451814,0.0091813610415391,0.009034263921632268,-0.015767388214833054
1725366451929,0.01024410686560597,0.007901956834092965,-0.013907765455294489
1725366451979,0.011679318593928649,0.007295318237908224,-0.012280222075322316
1725366452090,0.01330484590279928,0.007242350898007402,-0.011052182760798187
1725366452137,0.014788207317957025,0.007590867334307533,-0.010299954629778636
1725366452251,0.015695377807352355,0.008081207460743986,-0.010010930065870092
1725366452294,0.015606525255305027,0.008456917841762768,-0.010117320926662648
1725366452413,0.014259806589412383,0.00856131933890448,-0.010532719975410335
1725366452458,0.011668640619732051,0.008381863859208551,-0.01116993977622944
1725366452573,0.008164806515875813,0.008034428576055744,-0.011938846065205405
1725366452615,0.00434402120415949,0.007705129794464518,-0.012737979591484034
1725366452736,0.0009226601813215054,0.0075760525126964285,-0.013453653169978217
1725366452781,-0.001454744694153213,0.007758674965010731,-0.013971049563213682
1725366452898,-0.0023965037233442794,0.008254680723583667,-0.014195139653488705
1725366452941,-0.0018716393343140392,0.008957711798846371,-0.014077010463138832
1725366453056,-0.0002076938068283817,0.009694361325756419,-0.013637398244807803
1725366453100,0.002016749031821729,0.010281882590646357,-0.01297362262791138
1725366453219,0.004142086513252671,0.01057089344197062,-0.012238176167739123
1725366453264,0.005601798928811616,0.010455845154539586,-0.011592767716560246
1725366453379,0.0060516058798783506,0.009863654018938073,-0.011160404935526776
1725366453419,0.005427654009138601,0.00874616552898159,-0.011001207554316585
1725366453540,0.003931087804851143,0.007091438511005466,-0.011119001873093334
1725366453584,0.0019549806634498214,0.0049454043922928966,-0.011481858048661428
1725366453702,-1.6869062182017646e-05,0.0024234828379846294,-0.012033144538786823
1725366453747,-0.0015049700602469236,-0.0003004887537933098,-0.012684715745078309
1725366453862,-0.0020983518275086827,-0.003025873711282033,-0.0133035740184579
1725366453907,-0.0014856507841389558,-0.005568077862219232,-0.013709373877298805
1725366454023,0.0005276557274243866,-0.00780382454413297,-0.013690492128915266
1725366454071,0.003991908550788707,-0.009708813648610828,-0.013033467492655557
1725366454184,0.008768904789734631,-0.011371716402961106,-0.011555803820999246
1725366454228,0.014490437466620883,-0.012967471842358583,-0.009135429804346657
1725366454345,0.02055626079687003,-0.014687525818239606,-0.0057340679886629334
1725366454389,0.026201103712990174,-0.016651295520651,-0.0014117442725279246
1725366454506,0.030631853261017503,-0.01884389214009567,0.003672746724963135
1725366454545,0.0332007832907639,-0.021122265553629976,0.009281443952594831
1725366454671,0.033558058955812056,-0.023300341130776284,0.01513870229931023
1725366454715,0.03172967604636815,-0.025275638318749117,0.02098616294167406
1725366454827,0.02809304761952214,-0.02712380902795153,0.02663276955859913
1725366454868,0.023256015032755043,-0.029093667081923902,0.03198267071226668
1725366454990,0.017872510708775588,-0.03148711000654171,0.03703804049915077
1725366455034,0.012447552049424961,-0.03447190077208284,0.04188575554262183
1725366455151,0.0071957782045586425,-0.037909118076409336,0.04667272111449699
1725366455193,0.0020113036925745852,-0.04126997305936395,0.051562714340324604
1725366455311,-0.0034287231976026303,-0.04368589802167798,0.05666846180140902
1725366455357,-0.009460663260584801,-0.044136917594911444,0.06197138631017791
1725366455473,-0.016213090021555885,-0.04173868164188722,0.0672607057012531
1725366455520,-0.023461832591567245,-0.03604369169771652,0.07212399738349962
1725366455635,-0.03062440197833281,-0.027247605819837747,0.07600111936211343
1725366455679,-0.03689885799962786,-0.016209908603485906,0.07828703152309163
1725366455794,-0.041494852782561105,-0.004262764372251519,0.07845272117408295
1725366455837,-0.043871300255056735,0.0071332047947233876,0.07615272545514284
1725366455956,-0.043895785596206695,0.01676431855466425,0.07129681791419
1725366456000,-0.04187148508491395,0.02393994481000992,0.06407331611560901
1725366456118,-0.03842551679240915,0.028586983216453924,0.05491899908431848
1725366456159,-0.03430230584504883,0.03115627484315921,0.04443934119580268
1725366456279,-0.030139810413881103,0.03239931811367285,0.0332956636016503
1725366456321,-0.02631110144255959,0.03310364508433378,0.022088782314802585
1725366456439,-0.022884477196530223,0.03386992928613816,0.011272731495232344
1725366456485,-0.019703306191589918,0.03498680641470493,0.0011215762071346321
